landing_id,activity_period,operating_airline,operating_iata,published_airline,published_iata,geo_summary,geo_region,landing_aircraft_type,body_type,aircraft_manufacturer,aircraft_model,aircraft_version,landing_count,total_landed_weight,airline_id,airport_id,runway_id,weather_id,flight_id,pilot_id,delay_id,maintenance_id,aircraft_capacity
39,202112,Thompson-Henry,HDM,King-Sanders,JZH,International,Oceania,Turboprop,Narrow-body,Bombardier,CRJ900,-200,5,194986,151,194,57,78,18436,781,1935,4105,220
40,202006,Brown-Rivas,UHY,Burke Inc,BYW,International,Africa,Turboprop,Narrow-body,Boeing,A320,-200,7,227882,340,140,51,63,8360,450,694,160,150
41,202406,Young Group,LDK,"Alvarez, Harper and Thomas",RBJ,Domestic,Europe,Turboprop,Narrow-body,Boeing,E190,-200,9,287864,275,272,165,14,14894,695,2855,1420,250
42,202212,Chambers and Sons,JEL,Johnson LLC,TGA,International,Europe,Turboprop,Narrow-body,Embraer,737,-900,7,378793,125,217,150,88,2206,8,129,3875,150
43,202112,Watts-Reyes,MRA,"Hernandez, Ortiz and Molina",JFS,International,Oceania,Turboprop,Wide-body,Boeing,E190,-1000,7,92682,363,19,191,17,11505,246,381,2086,180
44,202301,Murphy-Walker,PYC,Stafford Ltd,OGU,Domestic,South America,Jet,Wide-body,Boeing,737,-900,8,246163,89,141,125,85,1260,856,2191,2436,180
45,202410,"Morgan, Cook and Whitehead",GUE,"Garcia, Abbott and Hull",QUG,Domestic,North America,Helicopter,Narrow-body,Airbus,CRJ900,-200,3,91052,406,155,152,46,14605,308,72,2778,200
46,202307,Vasquez-Smith,XYT,"Jones, Peters and Howard",WVL,Domestic,Asia,Jet,Narrow-body,Embraer,E190,-200,10,380441,192,67,130,64,14943,525,1472,2529,150
47,202307,"Wilson, Coleman and Daniels",UBS,"Madden, Thompson and Anderson",PUL,Domestic,South America,Jet,Narrow-body,Boeing,737,-900,10,361802,11,180,15,8,13144,704,975,994,200
48,202011,Moon-Chavez,XEA,"Mcdonald, Flores and Shaffer",DUM,Domestic,Asia,Jet,Wide-body,Bombardier,737,-900,4,155238,497,217,110,61,269,16,1533,4167,150
49,202006,"Martin, Trevino and Davis",CIO,"Walker, Banks and Obrien",XSM,Domestic,South America,Turboprop,Wide-body,Embraer,E190,-900,7,83325,427,99,77,23,6522,590,2805,1575,180
50,202109,"Krueger, Macias and Stokes",OSQ,Moore-Jones,BJI,International,North America,Turboprop,Wide-body,Bombardier,E190,-800,10,369895,159,63,160,70,4281,110,1068,1532,200
51,202402,"Cobb, Christian and Medina",RUB,"Patel, Hanson and Mitchell",GSC,Domestic,South America,Jet,Wide-body,Bombardier,737,-800,4,114903,90,250,99,75,6492,236,628,3640,250
52,202103,Robbins-Owens,MVH,Gonzales Ltd,ITX,Domestic,Europe,Helicopter,Narrow-body,Embraer,A320,-200,9,98314,126,213,146,69,9242,897,2181,1597,250
53,202108,Wilson-Dean,PJD,Gomez-Patel,AGT,Domestic,Europe,Jet,Wide-body,Airbus,737,-1000,10,260066,128,184,49,72,12632,775,932,2165,220
54,202409,Long Inc,UPK,"Turner, Clark and Little",NGL,International,South America,Turboprop,Wide-body,Embraer,E190,-900,9,71888,183,24,108,92,9961,594,1360,1564,180
55,202405,Huang-Brooks,KSH,Wallace PLC,ONM,Domestic,Oceania,Helicopter,Narrow-body,Boeing,A320,-1000,2,59135,415,123,138,3,20377,142,2775,3639,250
56,202210,Hogan-Hubbard,MYW,"Ortiz, Davis and Montes",RJG,International,Europe,Jet,Wide-body,Airbus,E190,-800,5,366534,291,252,141,64,1424,305,1972,523,180
57,202408,Velazquez Inc,LJQ,Hayes LLC,CTZ,Domestic,Oceania,Jet,Narrow-body,Bombardier,CRJ900,-1000,5,111171,303,238,93,71,15897,708,2710,3282,180
58,202111,"Flores, Perry and Williams",RAM,"Hopkins, Rodriguez and Johnson",JFK,Domestic,Africa,Turboprop,Wide-body,Bombardier,A320,-1000,9,182373,348,134,88,15,8996,377,968,48,250
59,202112,Gardner LLC,ZYK,Tucker-Vincent,TLN,Domestic,South America,Jet,Narrow-body,Boeing,737,-1000,4,84662,281,287,133,79,19726,499,1074,3437,250
60,202404,Cobb Ltd,DNS,Hodges Inc,LUZ,International,South America,Turboprop,Narrow-body,Airbus,A320,-1000,6,220208,14,150,13,42,21753,931,2835,4647,250
61,202303,Carter-Clay,RAA,Sutton Inc,NQG,Domestic,Asia,Jet,Wide-body,Boeing,E190,-1000,2,129634,351,65,144,71,1717,492,2070,956,180
62,202306,"Hansen, Rodgers and Lee",UJL,"Sheppard, Diaz and Mckenzie",WDO,Domestic,North America,Turboprop,Narrow-body,Bombardier,737,-900,3,228640,401,7,115,82,2187,985,2026,319,180
63,202203,Day-Soto,OXK,Miller-Rodgers,BVL,International,North America,Helicopter,Narrow-body,Embraer,737,-800,3,123285,47,6,104,85,12411,128,2781,665,250
64,202211,Frazier LLC,CSW,"Small, Barnes and Yoder",EJX,International,Oceania,Jet,Wide-body,Bombardier,A320,-900,7,241104,167,54,55,55,2541,488,601,3376,200
65,202105,Patterson-Stewart,SVV,Contreras-Lang,RRG,Domestic,North America,Jet,Wide-body,Embraer,CRJ900,-900,10,175703,486,49,60,79,10609,967,425,3274,180
66,202209,Lee LLC,NHS,"Bradley, White and Mclaughlin",ZLN,Domestic,Asia,Helicopter,Narrow-body,Embraer,737,-1000,5,178958,49,78,96,80,8156,211,1837,740,250
67,202403,"Vega, Ortega and Anderson",FES,Wong-Marquez,FHL,Domestic,South America,Jet,Narrow-body,Embraer,CRJ900,-800,2,127274,423,270,69,25,8458,634,40,1058,150
68,202404,Perry-Reese,UDZ,"Young, Santos and Perkins",CPL,International,Africa,Turboprop,Narrow-body,Boeing,A320,-200,5,194149,284,106,25,93,16515,690,2476,3638,200
69,202212,Wilkins Ltd,SNU,Miles Ltd,ZHD,Domestic,Europe,Helicopter,Wide-body,Airbus,E190,-200,3,142122,341,80,179,15,1507,172,2806,2139,180
70,202210,Lynch and Sons,RJM,"Tucker, Delgado and Salazar",QTV,Domestic,North America,Helicopter,Wide-body,Boeing,CRJ900,-1000,6,298315,344,297,117,59,6234,981,127,1141,200
71,202008,"Walker, Anthony and Morgan",CBF,Nicholson-Crosby,OUN,International,South America,Jet,Wide-body,Airbus,CRJ900,-800,9,309103,171,100,24,77,21750,715,2106,620,150
72,202402,Campbell LLC,BQI,"Phelps, Baker and Pratt",OMJ,International,Europe,Jet,Narrow-body,Embraer,CRJ900,-200,5,167164,100,176,36,18,2211,835,2242,2603,250
73,202203,"Kim, Cannon and Martin",BUQ,"Shelton, Sullivan and Mathis",LAN,Domestic,North America,Helicopter,Narrow-body,Embraer,A320,-200,2,232890,277,131,56,77,6215,678,1338,4977,180
74,202206,Reynolds Ltd,TEI,Robinson Ltd,MNU,International,Europe,Helicopter,Narrow-body,Embraer,737,-1000,5,294002,171,178,131,91,2663,389,1025,273,150
75,202109,Patterson-Jackson,IEX,"Hayes, Anderson and Ball",HIR,Domestic,Europe,Jet,Narrow-body,Boeing,E190,-900,5,165784,76,278,30,41,5851,911,20,3901,180
76,202206,Ball Ltd,GTA,Salas and Sons,WTQ,International,Africa,Jet,Wide-body,Boeing,CRJ900,-200,9,249166,271,267,174,5,8229,782,6,3916,250
77,202112,Smith LLC,IWS,Durham-Flores,JPY,International,North America,Turboprop,Narrow-body,Airbus,E190,-800,8,96049,382,280,37,74,5101,99,1064,658,220
78,202410,Medina PLC,YJB,Jensen PLC,BTN,Domestic,South America,Jet,Narrow-body,Bombardier,E190,-1000,7,257155,180,124,92,83,16161,775,465,3761,150
79,202308,"Hayden, Johnson and Manning",ITT,"Coleman, Cantu and Miller",LYC,Domestic,Oceania,Helicopter,Narrow-body,Bombardier,737,-1000,6,132515,287,184,174,28,5914,962,1067,3737,180
80,202309,Le and Sons,VBN,"Young, Duncan and Nguyen",XHP,Domestic,Asia,Turboprop,Wide-body,Airbus,737,-200,5,77352,69,128,78,18,14942,40,952,1993,250
81,202312,Norman-Gonzalez,PKM,King Ltd,MBW,Domestic,South America,Jet,Wide-body,Bombardier,CRJ900,-200,2,118566,210,164,189,9,2465,504,652,4407,150
82,202208,Richards PLC,CKV,Lopez Ltd,DRY,Domestic,Asia,Helicopter,Wide-body,Airbus,A320,-800,3,105611,65,6,62,67,19243,899,753,3979,220
83,202011,Berg Inc,FOX,"Rios, Kennedy and Strickland",VYL,International,Europe,Turboprop,Wide-body,Embraer,737,-800,9,383742,391,220,30,11,8050,32,2396,3057,150
84,202501,Collins-Browning,AMC,Armstrong LLC,RXX,Domestic,Asia,Helicopter,Wide-body,Embraer,A320,-1000,5,327363,244,249,100,46,17175,136,2004,1833,200
85,202104,"Chambers, Johnson and Smith",EID,Hunt-Mckenzie,HXJ,International,Oceania,Turboprop,Wide-body,Airbus,737,-200,1,326551,425,144,199,95,2414,329,2571,4668,200
86,202307,Edwards-Morgan,VFI,Roberts Group,FUB,International,Africa,Turboprop,Narrow-body,Airbus,A320,-1000,1,396130,98,278,131,71,9602,938,1499,1845,200
87,202007,Tucker Inc,RQG,Olson Group,EXL,Domestic,Africa,Turboprop,Wide-body,Embraer,A320,-200,4,290456,379,227,27,98,20517,734,2599,388,250
88,202109,"Fuller, Fitzgerald and Juarez",DGA,Wells-Wilson,AST,International,Asia,Jet,Narrow-body,Bombardier,737,-200,5,151266,211,16,140,8,13882,806,2046,4978,250
89,202107,"Valentine, Kidd and Sanchez",VWC,"Johnson, Graham and Thompson",DOX,Domestic,Europe,Helicopter,Wide-body,Boeing,A320,-1000,1,226106,420,42,58,48,1833,595,1090,1509,180
90,202009,"Romero, Bennett and Vega",GTZ,Lambert-Lewis,FCL,International,Africa,Helicopter,Wide-body,Boeing,E190,-200,5,227919,74,161,18,52,12976,385,564,2492,250
91,202104,Bryant-Brewer,SJS,"Acosta, Schultz and Jenkins",EKS,International,Oceania,Helicopter,Narrow-body,Boeing,A320,-800,6,278620,408,181,139,79,18530,843,2344,695,200
92,202404,English-Taylor,SXN,Davis Group,DRY,International,North America,Turboprop,Narrow-body,Embraer,A320,-900,4,256319,236,22,12,3,18762,6,2473,2775,200
93,202306,Peters-Robinson,VRN,Vega-Ellis,HRQ,Domestic,Asia,Turboprop,Narrow-body,Bombardier,E190,-1000,6,215149,411,120,54,65,16199,39,382,4079,200
94,202310,Robinson-Cross,XPX,"Harris, Galloway and Chase",ZLN,Domestic,Europe,Turboprop,Narrow-body,Embraer,E190,-1000,4,233555,77,120,106,62,7510,280,94,2914,220
95,202109,Carlson-Hampton,XLV,Stevens PLC,RHM,Domestic,North America,Turboprop,Wide-body,Airbus,737,-200,8,323984,302,155,176,65,20067,12,1086,2229,180
96,202106,Rich Inc,FZB,Mcfarland LLC,MLM,Domestic,Europe,Helicopter,Wide-body,Bombardier,737,-200,9,52707,41,240,9,80,11727,311,1674,4509,180
97,202107,Gray Ltd,GLU,"Flores, Porter and Rowe",XWQ,International,Europe,Helicopter,Narrow-body,Airbus,A320,-200,3,175703,483,80,22,96,11333,152,2771,4040,250
98,202304,Hunter-Johnson,JAQ,Navarro PLC,LUJ,International,North America,Helicopter,Wide-body,Bombardier,737,-1000,7,203522,404,264,93,72,5474,388,2234,1683,180
99,202404,Garrison-Gibson,ZFI,Tyler-Barnes,CJO,Domestic,South America,Jet,Wide-body,Embraer,CRJ900,-1000,6,164515,82,251,153,7,2774,818,2268,4759,220
100,202207,Russell Ltd,HJQ,Ball and Sons,AXS,International,Europe,Turboprop,Narrow-body,Airbus,A320,-900,9,109589,18,212,135,43,17283,969,1285,458,220
101,202102,Barton PLC,MFN,"Terry, Dominguez and White",QMK,International,Oceania,Turboprop,Wide-body,Airbus,E190,-900,5,141868,237,70,98,76,8365,49,1675,3253,200
102,202404,Cole Inc,NGF,Macdonald-Trevino,JXS,Domestic,Europe,Turboprop,Wide-body,Embraer,A320,-800,7,143650,297,73,137,3,18025,669,2988,378,250
103,202405,Miller-Rivera,CJS,"Myers, Sparks and Coleman",DDW,International,Oceania,Helicopter,Narrow-body,Bombardier,E190,-900,6,239655,243,272,24,18,18939,29,716,1501,200
104,202407,"Leonard, Manning and Morton",ADH,"Robinson, Clark and Black",SVM,Domestic,Oceania,Turboprop,Narrow-body,Airbus,737,-900,1,57723,85,152,144,97,2790,306,2963,3743,220
105,202209,Cruz Inc,XUP,"Smith, Jackson and Noble",VCT,International,South America,Turboprop,Narrow-body,Boeing,A320,-200,3,205824,249,237,169,99,10248,552,828,1668,220
106,202501,Hudson and Sons,FYO,Glover LLC,XHL,Domestic,Europe,Turboprop,Wide-body,Embraer,A320,-1000,9,123899,433,108,182,56,13981,250,2975,3736,200
107,202504,"Thompson, Rose and Rivera",MNG,Lucas-Bailey,ZPK,Domestic,Asia,Jet,Narrow-body,Airbus,E190,-800,9,258167,372,186,121,89,19492,876,1583,4302,200
108,202201,Reed Inc,GOO,Mcfarland-James,OGQ,International,Africa,Turboprop,Wide-body,Bombardier,E190,-1000,4,157155,327,104,113,11,11961,193,2817,1130,180
109,202005,Kirk and Sons,BGH,Short-Christian,XBB,International,Europe,Turboprop,Narrow-body,Bombardier,737,-1000,6,204275,167,211,12,19,5282,678,231,1998,200
110,202204,Sherman Ltd,TFX,Garrett PLC,CYY,International,Asia,Turboprop,Wide-body,Bombardier,CRJ900,-900,8,239768,346,252,129,37,8048,486,1571,3746,250
111,202311,Bernard PLC,UKC,"Sloan, Mason and Potts",WOT,International,Oceania,Helicopter,Wide-body,Bombardier,CRJ900,-900,1,198723,202,182,14,67,3283,92,785,3889,220
112,202010,"Douglas, Wiley and Moore",UKR,Wells Ltd,AJK,International,Africa,Turboprop,Wide-body,Embraer,CRJ900,-1000,4,129288,208,201,60,2,12079,753,1832,4163,200
113,202211,"Lee, Garcia and Rojas",TIJ,Long Ltd,CDS,International,South America,Jet,Wide-body,Embraer,CRJ900,-900,1,120945,415,63,123,50,20845,941,853,573,150
114,202501,"Nichols, Ross and Frank",NZC,"Roberts, Ford and Aguirre",BMA,Domestic,Europe,Turboprop,Wide-body,Airbus,CRJ900,-1000,5,364754,156,130,123,79,8745,151,2867,3816,200
115,202409,"Gray, Sloan and Wallace",BHR,"Drake, Banks and Watson",XBX,Domestic,Europe,Jet,Wide-body,Boeing,737,-200,10,89843,267,195,152,74,10075,941,1977,3629,200
116,202408,Smith-Long,DTE,"Hansen, Allen and Rowe",KHV,International,Africa,Helicopter,Wide-body,Embraer,E190,-200,8,82703,75,204,200,84,14951,147,2775,4383,250
117,202312,Caldwell Ltd,AYF,Wells LLC,MOW,International,Oceania,Turboprop,Narrow-body,Airbus,737,-1000,8,99311,207,172,165,3,3655,666,1113,796,220
118,202310,Miller-Boyle,URK,Jensen Group,IKM,Domestic,South America,Helicopter,Wide-body,Boeing,737,-1000,8,109567,480,89,198,10,12907,415,1119,140,250
119,202407,Morris Group,SHG,Smith-Smith,JSJ,Domestic,North America,Jet,Narrow-body,Airbus,E190,-800,9,87944,133,57,73,57,18154,934,1019,793,150
120,202201,"Clarke, Banks and Roberts",YFV,"Cox, Garcia and Hernandez",LVA,International,South America,Jet,Wide-body,Bombardier,A320,-900,10,77760,461,108,21,38,13814,447,1809,3108,180
121,202104,Lloyd-Tran,HKC,Logan Ltd,KIU,International,Europe,Jet,Wide-body,Boeing,CRJ900,-200,1,360756,329,247,94,19,8654,515,124,3036,150
122,202307,Howard-Klein,SNJ,Liu Inc,COR,Domestic,Oceania,Helicopter,Narrow-body,Embraer,CRJ900,-200,5,215255,58,242,155,71,13020,964,1454,3252,150
123,202008,Green Ltd,MQW,"Jenkins, Martin and Escobar",URQ,Domestic,South America,Turboprop,Narrow-body,Boeing,CRJ900,-900,7,65826,449,201,44,36,1317,958,2689,1427,250
124,202008,"Mcgee, Boyd and Herring",IWX,"Burke, Bailey and Oconnell",PHS,International,Oceania,Helicopter,Narrow-body,Airbus,A320,-200,4,325289,411,232,40,42,8009,993,1742,4079,200
125,202405,Valdez-Burgess,ZBN,Potter PLC,HQO,International,Asia,Turboprop,Narrow-body,Airbus,A320,-200,6,189071,188,175,49,79,13005,853,1382,3843,180
126,202112,Carney and Sons,ECA,"Blair, Reynolds and Williams",MGI,Domestic,North America,Helicopter,Narrow-body,Airbus,CRJ900,-800,6,379443,358,55,116,33,5446,909,1332,547,180
127,202408,Nichols LLC,GJQ,Robertson-Shepherd,PZL,Domestic,Oceania,Helicopter,Narrow-body,Bombardier,CRJ900,-800,8,212233,239,14,103,59,12284,392,742,1175,200
128,202010,Reyes-Gilbert,ZVZ,"Martin, Burgess and Garner",UOK,International,South America,Helicopter,Narrow-body,Embraer,E190,-200,6,317211,448,95,153,16,5484,820,359,133,200
129,202005,Lewis-Thomas,XZW,Anderson-Garcia,ZNL,Domestic,Europe,Turboprop,Wide-body,Boeing,E190,-1000,1,362435,476,124,14,4,7146,778,1786,3931,200
130,202107,Harris-Martin,JXV,Greene-Martin,EXX,Domestic,North America,Jet,Wide-body,Embraer,E190,-800,2,79561,359,146,127,98,10679,561,2317,1319,150
131,202104,"Armstrong, Cohen and Warner",XQC,Henry Group,OHP,Domestic,South America,Helicopter,Narrow-body,Airbus,E190,-800,8,379926,24,166,58,32,21459,827,1278,2635,180
132,202302,Cox Inc,DXT,"Espinoza, Juarez and Jackson",FQF,Domestic,Europe,Turboprop,Wide-body,Embraer,A320,-900,8,232882,302,180,46,11,258,427,36,2068,150
133,202403,Turner-James,PCO,Terrell LLC,GTI,Domestic,North America,Turboprop,Wide-body,Bombardier,CRJ900,-1000,4,253060,157,26,107,27,2739,638,1785,118,150
134,202305,Andrews-Allen,BOG,"Snyder, Garrison and Campbell",JPI,International,Europe,Helicopter,Narrow-body,Bombardier,737,-1000,1,232141,48,240,167,94,18561,75,2285,611,250
135,202208,"Conner, Ayala and Brown",JVX,"Scott, Ramos and Drake",OMW,International,Oceania,Helicopter,Wide-body,Boeing,A320,-1000,10,312791,400,137,33,47,13367,494,1854,3735,250
136,202406,Haynes-Davis,QFW,Morales-Williams,MZQ,Domestic,Asia,Turboprop,Narrow-body,Airbus,CRJ900,-200,2,183780,226,145,169,78,6892,353,2407,268,200
137,202207,"Mcbride, Lucero and Liu",TRR,Stevens-Chavez,KPX,Domestic,Asia,Helicopter,Wide-body,Boeing,CRJ900,-900,7,202063,269,288,3,7,21323,884,100,2358,200
138,202211,"Small, Bell and Morris",CVF,"Whitaker, Sullivan and Ramirez",DTH,Domestic,Asia,Turboprop,Narrow-body,Airbus,CRJ900,-200,4,294524,120,241,10,77,20880,334,1509,2341,220
139,202410,Wilson LLC,OFM,Tate-Spencer,WHT,International,Oceania,Jet,Wide-body,Airbus,E190,-1000,9,307533,343,268,158,5,9502,175,2997,3262,250
140,202306,Valdez-Holmes,WAQ,"Davis, Heath and Kelley",ACV,Domestic,Oceania,Turboprop,Narrow-body,Bombardier,E190,-200,9,333198,44,179,110,23,6683,517,2137,3900,250
141,202411,"Johnson, Torres and Allison",EID,Lopez LLC,THF,Domestic,South America,Helicopter,Narrow-body,Airbus,CRJ900,-200,7,105920,451,225,146,78,20584,85,1256,1736,220
142,202105,Larson LLC,LGF,"Mays, Hendricks and Thomas",PJW,Domestic,Africa,Turboprop,Wide-body,Boeing,E190,-900,8,317218,240,8,158,37,14175,15,1080,1894,220
143,202107,Jones-Lane,BQK,Payne-Finley,OWI,International,South America,Helicopter,Narrow-body,Embraer,A320,-900,7,266188,67,227,114,4,5353,779,2714,2616,200
144,202005,Hall-Frost,QQA,"Young, Davis and Landry",IYV,International,Africa,Jet,Wide-body,Airbus,A320,-200,5,393329,396,292,93,58,11580,707,2515,1324,250
145,202208,"Dennis, Coffey and Mora",XDQ,"Henry, Stuart and Miller",YAX,International,South America,Turboprop,Narrow-body,Airbus,A320,-200,7,218867,464,262,180,13,11373,428,2702,10,180
146,202412,"Wheeler, Davenport and Stanley",FXE,Pitts-Greene,PEU,International,Europe,Jet,Wide-body,Embraer,CRJ900,-800,4,189386,63,170,199,60,13529,740,2721,338,180
147,202409,Sexton Inc,PLX,Bowen-Davis,KPC,Domestic,Asia,Jet,Wide-body,Boeing,E190,-200,4,94495,42,30,38,47,13331,64,407,611,250
148,202008,"Schwartz, Evans and Morton",IPN,Paul-Carrillo,MLH,International,North America,Jet,Narrow-body,Airbus,CRJ900,-200,10,110131,120,61,128,22,3161,347,508,1326,150
149,202106,Valentine-Newman,SDL,Wilcox-Mclaughlin,JMR,International,Asia,Turboprop,Wide-body,Embraer,A320,-200,8,355960,164,236,68,82,3915,47,449,4491,200
150,202401,"Allen, Gonzalez and Taylor",AMI,Harris Ltd,ZIK,Domestic,North America,Turboprop,Wide-body,Embraer,E190,-900,3,390553,12,282,176,73,21033,548,363,2809,220
