Delay ID,Flight ID,Delay Reason,Delay Duration,Delayed Reported By
197,197,Technical,10,Airport
198,198,Security,85,Airline
199,199,Crew,35,FAA
200,200,ATC,79,FAA
201,201,Weather,88,Airline
202,202,Technical,29,Airport
203,203,ATC,87,Airport
204,204,Security,52,FAA
205,205,Crew,202,Airline
206,206,Technical,63,Airport
207,207,Crew,106,Airport
208,208,ATC,106,Airline
209,209,Technical,132,Airline
210,210,Weather,6,Airport
211,211,Weather,196,Airline
212,212,ATC,221,FAA
213,213,ATC,31,Pilot
214,214,Crew,153,Airport
215,215,Weather,50,Airline
216,216,Technical,98,FAA
217,217,Weather,155,Pilot
218,218,Crew,85,Airline
219,219,Security,43,Airline
220,220,Technical,53,FAA
221,221,ATC,152,Airline
222,222,ATC,155,Pilot
223,223,Technical,29,Airport
224,224,Weather,38,FAA
225,225,Security,229,Airline
226,226,Crew,205,Airline
227,227,Technical,215,Airport
228,228,ATC,186,Airline
229,229,Crew,24,FAA
230,230,Crew,14,Pilot
231,231,Weather,172,Pilot
232,232,Security,132,FAA
233,233,Weather,36,FAA
234,234,Technical,64,Pilot
235,235,Technical,223,Pilot
236,236,Crew,108,Airport
237,237,Weather,223,Pilot
238,238,Weather,107,Pilot
239,239,Weather,82,Pilot
240,240,ATC,115,Airline
241,241,Weather,81,Airport
242,242,ATC,31,FAA
243,243,Security,188,Pilot
244,244,Crew,84,Pilot
245,245,Weather,72,Airport
246,246,ATC,106,Pilot
247,247,Weather,187,Airport
248,248,Technical,129,Airline
249,249,Weather,14,Airline
250,250,Security,83,Airport
251,251,Security,88,Pilot
252,252,Crew,63,Pilot
253,253,Crew,71,Airline
254,254,ATC,161,Airport
255,255,ATC,236,Pilot
256,256,Technical,97,Airport
257,257,Crew,182,Airline
258,258,ATC,97,Pilot
259,259,ATC,172,Airport
260,260,Technical,114,Airline
261,261,Weather,96,Pilot
262,262,Technical,217,Pilot
263,263,ATC,123,Airport
264,264,Security,78,Airport
265,265,Technical,225,Airport
266,266,Technical,15,Pilot
267,267,ATC,52,Airport
268,268,Technical,88,Airline
269,269,ATC,15,FAA
270,270,Weather,8,Pilot
271,271,Technical,15,Airline
272,272,Weather,146,FAA
273,273,Crew,185,Airport
274,274,Security,171,Airport
275,275,Technical,115,Airport
276,276,Security,104,FAA
277,277,Security,54,Airport
278,278,Weather,98,Airport
279,279,Technical,64,Pilot
280,280,Security,135,Airline
281,281,Weather,131,FAA
282,282,Weather,138,Airport
283,283,ATC,212,Airline
284,284,Technical,62,Pilot
285,285,Security,224,Airport
286,286,Weather,195,Airport
287,287,Technical,38,Airline
288,288,Crew,216,Airline
289,289,Weather,156,Airline
290,290,Security,97,Airline
291,291,Crew,21,FAA
292,292,Technical,208,Pilot
293,293,Crew,35,Pilot
294,294,Technical,50,Pilot
295,295,Weather,67,FAA
296,296,Security,34,Pilot
297,297,ATC,42,FAA
298,298,Weather,64,Airport
299,299,Technical,139,Airport
300,300,Crew,137,Airport
301,301,ATC,98,FAA
302,302,Weather,129,Pilot
303,303,Crew,159,Pilot
304,304,Crew,57,Airport
305,305,ATC,55,Pilot
306,306,Security,88,Pilot
307,307,Crew,146,Airport
308,308,Weather,52,FAA
309,309,ATC,102,Airline
310,310,Weather,116,Airport
311,311,Crew,19,Airline
312,312,ATC,23,FAA
313,313,Technical,159,Airport
314,314,ATC,131,Pilot
315,315,Technical,92,Pilot
316,316,Security,197,Airline
317,317,Weather,127,Airline
318,318,Crew,184,Pilot
319,319,Crew,126,Airline
320,320,Weather,150,Pilot
321,321,Technical,84,Pilot
322,322,Crew,59,FAA
323,323,ATC,102,Pilot
324,324,Weather,173,Airport
325,325,Security,51,Airport
326,326,Technical,85,Pilot
327,327,Technical,236,Airport
328,328,Technical,30,Airport
329,329,Technical,194,FAA
330,330,Crew,55,Airline
331,331,Weather,183,Airline
332,332,Weather,191,Pilot
333,333,ATC,239,Pilot
334,334,Weather,114,Airport
335,335,Security,203,Airline
336,336,Security,27,Pilot
337,337,Security,234,Airline
338,338,Weather,2,FAA
339,339,ATC,55,Pilot
340,340,Security,94,FAA
341,341,Security,89,FAA
342,342,Technical,128,Airport
343,343,ATC,177,FAA
344,344,Technical,209,Pilot
345,345,Security,37,Airline
346,346,Crew,164,Airline
347,347,Security,161,Airport
348,348,Weather,72,FAA
349,349,Technical,135,Airline
350,350,Security,17,Pilot
351,351,Crew,21,Airline
352,352,Technical,22,Airline
353,353,Crew,78,FAA
354,354,Weather,150,FAA
355,355,Security,43,FAA
356,356,Technical,197,Pilot
357,357,Technical,30,FAA
358,358,Weather,115,Airline
359,359,ATC,80,Airline
360,360,Security,189,Airline
361,361,Security,218,Airline
362,362,Weather,240,Airport
363,363,Security,197,Pilot
364,364,Security,189,Airline
365,365,Security,112,FAA
366,366,Technical,75,FAA
367,367,Technical,118,Airport
368,368,Crew,72,Airline
369,369,Security,179,Pilot
370,370,Weather,73,Pilot
371,371,Security,57,Airport
372,372,Crew,51,Airport
373,373,ATC,112,Airline
374,374,Weather,13,FAA
375,375,Weather,50,Pilot
376,376,Weather,42,FAA
377,377,Weather,30,Pilot
378,378,ATC,78,Airport
379,379,Technical,210,FAA
380,380,ATC,199,Airport
381,381,Technical,113,Airport
382,382,Technical,62,Airline
383,383,Security,205,Airport
384,384,Security,101,Pilot
385,385,Crew,69,Airport
386,386,Security,38,Airline
387,387,Weather,61,Pilot
388,388,ATC,119,FAA
389,389,Technical,69,Airport
390,390,Security,111,Pilot
391,391,ATC,151,Airline
392,392,Weather,10,Pilot
393,393,Crew,135,FAA
394,394,Technical,11,Airline
395,395,Security,68,Pilot
396,396,Security,240,FAA
397,397,Security,159,Pilot
398,398,Crew,196,FAA
399,399,Technical,152,FAA
400,400,Technical,139,Airport
401,401,Technical,32,Airport
402,402,Security,63,Airline
403,403,ATC,115,Airline
404,404,Weather,222,Airline
405,405,Technical,42,Pilot
406,406,Security,15,Airport
407,407,Technical,203,Airline
408,408,Technical,204,Airport
409,409,Weather,49,Airport
410,410,Technical,128,Airline
411,411,ATC,121,FAA
412,412,Security,48,Pilot
413,413,Weather,181,Pilot
414,414,Weather,91,FAA
415,415,ATC,86,Airline
416,416,Security,113,FAA
417,417,Crew,152,Pilot
418,418,ATC,54,Airline
419,419,Security,83,FAA
420,420,Security,91,FAA
421,421,Weather,141,FAA
422,422,Security,186,FAA
423,423,ATC,215,FAA
424,424,Technical,6,Airport
425,425,Crew,240,Pilot
426,426,Weather,163,Airline
427,427,ATC,229,Airport
428,428,Security,214,Airport
429,429,Technical,110,Airport
430,430,Technical,155,Airport
431,431,Crew,228,Airport
432,432,Security,202,Airline
433,433,ATC,191,Pilot
434,434,Weather,129,FAA
435,435,ATC,187,Airport
436,436,Security,2,Airport
437,437,Security,207,Pilot
438,438,Weather,226,Pilot
439,439,Weather,208,Pilot
440,440,Weather,9,Airline
441,441,ATC,136,Airport
442,442,Technical,198,Airline
443,443,Security,22,FAA
444,444,Crew,138,Airline
445,445,Security,52,Airport
446,446,Security,137,FAA
447,447,Security,131,Airport
448,448,Weather,221,FAA
449,449,ATC,19,FAA
450,450,Weather,198,Airport
451,451,ATC,222,FAA
452,452,Crew,144,FAA
453,453,Security,188,Airline
454,454,Technical,162,FAA
455,455,Security,21,Pilot
456,456,Crew,175,FAA
457,457,Security,69,Airport
458,458,Crew,30,Airport
459,459,Security,133,Airline
460,460,Crew,230,FAA
461,461,Technical,212,Airport
462,462,ATC,83,FAA
463,463,Crew,62,Pilot
464,464,Security,78,Pilot
465,465,Security,115,Airport
466,466,Technical,226,Airport
467,467,ATC,106,Airport
468,468,Weather,198,Airline
469,469,Weather,69,Airline
470,470,Weather,204,Airline
471,471,Security,216,Airport
472,472,Security,170,Airline
473,473,ATC,117,Pilot
474,474,Weather,209,FAA
475,475,Weather,126,Airport
476,476,Technical,118,FAA
477,477,Technical,33,Airline
478,478,Technical,204,FAA
479,479,Security,217,Airport
480,480,ATC,91,Airport
481,481,Crew,57,Pilot
482,482,Weather,135,FAA
483,483,Security,187,Airport
484,484,Crew,208,FAA
485,485,Crew,32,Airport
486,486,Crew,176,FAA
487,487,Crew,240,Airline
488,488,Technical,6,Pilot
489,489,Weather,5,Airport
490,490,Security,41,FAA
491,491,Crew,30,Pilot
492,492,Security,141,Airport
493,493,Weather,234,Pilot
494,494,Security,140,Airport
495,495,Crew,202,Airline
496,496,Weather,71,Airline
497,497,Security,18,Airport
498,498,Security,106,Airline
499,499,Weather,98,Airport
500,500,ATC,130,Airport
501,501,Crew,105,Airport
502,502,Weather,215,Pilot
503,503,Security,36,Airport
504,504,Technical,53,FAA
505,505,Weather,120,FAA
506,506,Technical,165,Pilot
507,507,Technical,233,FAA
508,508,Security,83,FAA
509,509,Crew,102,Airline
510,510,Technical,205,FAA
511,511,Crew,3,Airline
512,512,Security,184,Airport
513,513,Crew,130,Airline
514,514,Crew,11,Airline
515,515,ATC,39,Pilot
516,516,ATC,68,Pilot
517,517,Weather,203,Airline
518,518,Crew,3,Airline
519,519,Technical,29,FAA
520,520,Technical,233,Airport
521,521,Technical,210,Airport
522,522,Crew,40,FAA
523,523,Security,130,Airline
524,524,Security,123,Pilot
525,525,Crew,51,Airline
526,526,Technical,71,FAA
527,527,Crew,231,Airline
528,528,ATC,13,Pilot
529,529,ATC,49,FAA
530,530,Crew,86,FAA
531,531,Security,173,Airline
532,532,Crew,221,FAA
533,533,Weather,162,FAA
534,534,Security,15,FAA
535,535,Technical,57,Airline
536,536,Crew,155,FAA
537,537,ATC,108,Airport
538,538,Security,63,Airport
539,539,Technical,100,FAA
540,540,Technical,167,FAA
541,541,ATC,33,Airline
542,542,Weather,100,Pilot
543,543,Weather,216,FAA
544,544,Weather,147,Pilot
545,545,Security,106,Pilot
546,546,Technical,133,Airport
547,547,Crew,101,Airport
548,548,Security,86,Pilot
549,549,Technical,125,Airline
550,550,Technical,18,Airline
551,551,Crew,74,Pilot
552,552,ATC,240,Airline
553,553,Technical,6,FAA
554,554,ATC,92,FAA
555,555,Weather,38,Airline
556,556,Security,33,Airport
557,557,Technical,144,Airport
558,558,Security,206,FAA
559,559,Security,95,FAA
560,560,ATC,200,FAA
561,561,ATC,7,Airport
562,562,Crew,61,Airport
563,563,Security,17,Pilot
564,564,Technical,212,Airport
565,565,Crew,106,Airport
566,566,Weather,93,FAA
567,567,Security,166,Airport
568,568,Weather,65,Pilot
569,569,ATC,61,Pilot
570,570,Technical,38,Pilot
571,571,Technical,220,Airline
572,572,Crew,15,Airline
573,573,Crew,176,FAA
574,574,Technical,219,FAA
575,575,ATC,71,FAA
576,576,ATC,39,FAA
577,577,ATC,139,FAA
578,578,Crew,34,Pilot
579,579,ATC,144,FAA
580,580,Weather,17,FAA
581,581,ATC,176,Airline
582,582,ATC,91,Airline
583,583,Crew,74,Airport
584,584,Security,164,Airline
585,585,Technical,96,FAA
586,586,ATC,7,Pilot
587,587,Crew,61,Pilot
588,588,Security,207,Airport
589,589,Weather,42,Airline
590,590,Technical,10,FAA
591,591,Weather,3,Airline
592,592,Crew,230,Airport
593,593,Security,182,Airport
594,594,ATC,226,Pilot
595,595,Technical,89,Airline
596,596,ATC,56,Pilot
597,597,Security,100,Airline
598,598,Weather,178,Pilot
599,599,Weather,217,Airport
600,600,Crew,79,FAA
601,601,Technical,232,Airline
602,602,Technical,120,Pilot
603,603,Security,6,Airline
604,604,Weather,196,Airline
605,605,ATC,45,Pilot
606,606,Weather,166,FAA
607,607,Technical,169,Pilot
608,608,ATC,91,Airport
609,609,Security,137,Pilot
610,610,Security,87,FAA
611,611,Technical,203,FAA
612,612,Security,215,Airline
613,613,Weather,221,Pilot
614,614,Weather,161,Pilot
615,615,Security,182,Airline
616,616,Weather,162,Airport
617,617,ATC,82,FAA
618,618,Weather,91,FAA
619,619,Technical,177,Airline
620,620,Crew,83,FAA
621,621,Security,102,Pilot
622,622,Technical,202,Pilot
623,623,Weather,210,Airline
624,624,Technical,24,Airport
625,625,Weather,85,Airline
626,626,Security,16,Pilot
627,627,Technical,201,Airport
628,628,ATC,172,Airport
629,629,Crew,25,Airline
630,630,Weather,13,Pilot
631,631,Crew,197,Pilot
632,632,Crew,51,Airport
633,633,Crew,216,FAA
634,634,ATC,227,FAA
635,635,Crew,148,Airport
636,636,Weather,221,Pilot
637,637,ATC,10,FAA
638,638,ATC,41,FAA
639,639,Weather,97,Airline
640,640,Technical,176,FAA
641,641,Security,238,Airport
642,642,Security,111,Airline
643,643,Technical,148,Airport
644,644,Crew,201,Pilot
645,645,Security,237,Airport
646,646,Weather,113,Pilot
647,647,Security,158,Pilot
648,648,Crew,56,FAA
649,649,Security,44,Airport
650,650,Technical,82,Pilot
651,651,Crew,5,Pilot
652,652,Crew,235,FAA
653,653,ATC,80,Airline
654,654,ATC,107,Airport
655,655,Crew,68,Airline
656,656,Weather,179,Pilot
657,657,ATC,228,Airport
658,658,Security,106,FAA
659,659,Security,3,Airport
660,660,Crew,217,Pilot
661,661,Security,130,Airline
662,662,Technical,105,Pilot
663,663,ATC,71,FAA
664,664,Crew,126,Airline
665,665,Security,61,Airport
666,666,Security,70,Airline
667,667,Crew,41,FAA
668,668,Security,170,Airport
669,669,Weather,53,FAA
670,670,ATC,7,Airport
671,671,ATC,153,FAA
672,672,ATC,179,Airport
673,673,Weather,224,Airline
674,674,Crew,208,Airport
675,675,Weather,13,Airport
676,676,Crew,37,FAA
677,677,Security,28,Pilot
678,678,ATC,48,Pilot
679,679,Weather,19,Pilot
680,680,ATC,176,Pilot
681,681,Crew,37,FAA
682,682,Crew,73,Pilot
683,683,ATC,26,Airline
684,684,ATC,238,Airport
685,685,Technical,35,Airline
686,686,ATC,76,Airline
687,687,ATC,233,Airport
688,688,Crew,101,Airline
689,689,Weather,30,Airline
690,690,Weather,120,Airport
691,691,Technical,33,Airport
692,692,Weather,53,FAA
693,693,Technical,47,Airport
694,694,Security,203,FAA
695,695,Security,230,Airport
696,696,ATC,232,Airline
697,697,Security,184,Pilot
698,698,Technical,84,Airline
699,699,Crew,116,Pilot
700,700,Security,3,Airport
701,701,ATC,37,FAA
702,702,Security,194,Airport
703,703,ATC,51,Airline
704,704,Crew,177,Airport
705,705,Crew,186,Pilot
706,706,Security,194,Airline
707,707,Security,167,Airline
708,708,Weather,141,FAA
709,709,Technical,184,Airline
710,710,Security,166,Airport
711,711,Crew,88,Pilot
712,712,Security,171,Airline
713,713,Weather,149,Airline
714,714,Technical,81,FAA
715,715,Security,45,FAA
716,716,Security,232,Pilot
717,717,Security,117,Airport
718,718,ATC,27,Airline
719,719,Security,12,Airport
720,720,ATC,24,Airport
721,721,Technical,128,FAA
722,722,Crew,234,Airline
723,723,ATC,173,Airport
724,724,Weather,111,Airport
725,725,Crew,27,Pilot
726,726,Security,210,FAA
727,727,ATC,225,FAA
728,728,Weather,163,Airport
729,729,Technical,33,Airline
730,730,Technical,233,Pilot
731,731,Security,164,Airline
732,732,Crew,160,Pilot
733,733,Weather,46,Pilot
734,734,Weather,222,FAA
735,735,Weather,113,Airport
736,736,Weather,63,FAA
737,737,ATC,115,Airline
738,738,Security,120,Pilot
739,739,Crew,84,Airline
740,740,Security,213,Pilot
741,741,ATC,168,Pilot
742,742,ATC,115,Airline
743,743,Security,153,Airline
744,744,Technical,36,FAA
745,745,Security,205,Airport
746,746,Weather,70,Airport
747,747,Technical,188,Airline
748,748,Technical,69,Pilot
749,749,Crew,5,Pilot
750,750,Crew,136,Airline
751,751,Technical,214,Airline
752,752,Technical,70,Pilot
753,753,ATC,151,Pilot
754,754,Crew,190,Pilot
755,755,Technical,231,Airline
756,756,Crew,133,FAA
757,757,Technical,29,Pilot
758,758,Technical,44,Airport
759,759,Technical,209,Airport
760,760,Security,56,Airport
761,761,Security,115,FAA
762,762,ATC,94,Airport
763,763,Technical,109,Airline
764,764,ATC,205,Airport
765,765,Technical,231,Airport
766,766,Crew,229,Airline
767,767,ATC,44,Pilot
768,768,ATC,164,Pilot
769,769,Security,82,Airport
770,770,Technical,5,Airport
771,771,Security,220,Airport
772,772,Security,237,Pilot
773,773,Technical,104,Airline
774,774,Crew,191,Airport
775,775,Crew,80,Pilot
776,776,Weather,203,Airline
777,777,Weather,99,Pilot
778,778,Technical,51,Airline
779,779,ATC,56,Airport
780,780,Technical,138,Airport
781,781,Crew,54,Airline
782,782,Security,62,Pilot
783,783,Technical,220,Airline
784,784,Weather,45,Airport
785,785,Crew,162,FAA
786,786,ATC,94,Pilot
787,787,Security,188,FAA
788,788,Weather,84,FAA
789,789,Technical,191,Airport
790,790,Technical,167,Airport
791,791,ATC,60,Airline
792,792,Crew,123,Pilot
793,793,Technical,100,Airport
794,794,ATC,86,Airport
795,795,Technical,141,Airport
796,796,Crew,225,Airport
797,797,Security,112,FAA
798,798,Technical,188,Airport
799,799,Technical,98,Airline
800,800,Technical,192,Airport
801,801,Weather,179,Airline
802,802,Crew,227,Pilot
803,803,Crew,149,Airline
804,804,Security,80,Airport
805,805,Security,148,FAA
806,806,Weather,159,Airport
807,807,Crew,103,Pilot
808,808,Weather,208,Airline
809,809,Crew,41,Airline
810,810,Security,150,Airline
811,811,ATC,24,Pilot
812,812,Technical,127,Airport
813,813,Technical,3,Pilot
814,814,Security,133,FAA
815,815,Technical,177,Pilot
816,816,Security,116,Airline
817,817,Crew,87,Pilot
818,818,Security,178,Airport
819,819,Technical,237,Airport
820,820,ATC,180,Airport
821,821,Weather,86,Airport
822,822,Weather,154,Pilot
823,823,Crew,190,Airport
824,824,Technical,119,FAA
825,825,Technical,122,FAA
826,826,Security,154,Airport
827,827,ATC,3,Airline
828,828,Security,127,Airport
829,829,Crew,124,Pilot
830,830,ATC,37,Pilot
831,831,Security,89,Airport
832,832,Weather,50,Airline
833,833,Security,178,Airport
834,834,ATC,57,Pilot
835,835,Weather,54,FAA
836,836,Weather,237,Airline
837,837,Technical,213,FAA
838,838,Security,115,FAA
839,839,Technical,218,Airport
840,840,ATC,137,Pilot
841,841,Technical,201,Airport
842,842,ATC,11,Airport
843,843,Weather,2,Airline
844,844,Technical,18,Airport
845,845,ATC,192,Airline
846,846,Weather,81,Airport
847,847,Weather,221,Airport
848,848,Technical,211,FAA
849,849,Security,208,FAA
850,850,Technical,193,Pilot
851,851,Technical,68,Airport
852,852,Crew,199,Pilot
853,853,ATC,192,Pilot
854,854,Weather,97,Airport
855,855,Crew,112,Airline
856,856,Technical,45,FAA
857,857,Technical,211,Pilot
858,858,ATC,196,Airline
859,859,Technical,217,Airline
860,860,ATC,150,Airport
861,861,ATC,105,Airport
862,862,Technical,43,Pilot
863,863,Security,221,FAA
864,864,ATC,194,FAA
865,865,Technical,122,Airline
866,866,Crew,213,Airport
867,867,Weather,222,Airport
868,868,ATC,75,Pilot
869,869,Crew,88,Airline
870,870,Technical,150,FAA
871,871,Technical,68,Airline
872,872,Technical,174,Airline
873,873,Crew,69,Airline
874,874,Technical,97,Airline
875,875,Technical,21,Airport
876,876,Technical,237,Airline
877,877,Security,10,Airport
878,878,Technical,25,Airport
879,879,Crew,116,Airline
880,880,Crew,183,Airline
881,881,Security,238,Airport
882,882,Technical,61,Pilot
883,883,Crew,162,Airline
884,884,ATC,195,Airline
885,885,Weather,101,FAA
886,886,Security,124,Pilot
887,887,ATC,148,Airport
888,888,Weather,28,Pilot
889,889,Security,36,FAA
890,890,Security,179,FAA
891,891,Weather,182,FAA
892,892,Technical,88,Airport
893,893,Crew,71,FAA
894,894,ATC,84,Airline
895,895,Weather,236,Airport
896,896,Weather,127,Airport
897,897,ATC,130,Pilot
898,898,Weather,191,Airline
899,899,ATC,189,FAA
900,900,Crew,19,Pilot
901,901,Weather,61,Airline
902,902,Technical,184,Airline
903,903,Crew,38,Pilot
904,904,Weather,181,FAA
905,905,Technical,123,FAA
906,906,Crew,214,Airline
907,907,Crew,209,Pilot
908,908,ATC,227,Airport
909,909,Security,146,Pilot
910,910,ATC,216,Airline
911,911,ATC,214,FAA
912,912,Security,127,Airline
913,913,Security,11,FAA
914,914,Security,131,FAA
915,915,Weather,85,Airline
916,916,Security,25,Airport
917,917,Crew,179,Airport
918,918,ATC,2,FAA
919,919,Weather,102,FAA
920,920,ATC,152,FAA
921,921,Security,201,Airline
922,922,Weather,34,FAA
923,923,Security,44,FAA
924,924,ATC,101,Airline
925,925,Technical,135,Airline
926,926,Security,196,Airline
927,927,Security,157,FAA
928,928,Crew,186,FAA
929,929,Technical,68,FAA
930,930,Weather,234,FAA
931,931,Weather,74,Airline
932,932,ATC,235,Pilot
933,933,ATC,141,FAA
934,934,Crew,167,Airline
935,935,ATC,6,Pilot
936,936,Weather,227,Pilot
937,937,Crew,84,Airline
938,938,Weather,223,Pilot
939,939,Crew,15,Airline
940,940,ATC,92,FAA
941,941,Weather,201,Airport
942,942,Security,225,Pilot
943,943,Crew,141,Pilot
944,944,Technical,165,Airline
945,945,Crew,173,Airport
946,946,Crew,65,Airport
947,947,Weather,121,Airline
948,948,ATC,188,Airport
949,949,ATC,51,FAA
950,950,Technical,100,Airline
951,951,Technical,135,Airport
952,952,Security,205,Airport
953,953,ATC,27,FAA
954,954,ATC,78,FAA
955,955,Security,236,Airline
956,956,Weather,1,Pilot
957,957,ATC,201,Airline
958,958,Weather,186,FAA
959,959,Weather,63,FAA
960,960,ATC,50,Pilot
961,961,Security,9,Pilot
962,962,Weather,25,Airline
963,963,Security,232,Pilot
964,964,Crew,90,FAA
965,965,ATC,34,Airport
966,966,Security,20,Pilot
967,967,Crew,107,Airport
968,968,Security,230,FAA
969,969,Weather,59,Airport
970,970,Security,109,FAA
971,971,Technical,43,FAA
972,972,Crew,168,Airline
973,973,Security,152,Airline
974,974,ATC,88,FAA
975,975,ATC,146,Pilot
976,976,ATC,146,Pilot
977,977,Technical,165,Pilot
978,978,Technical,225,Airline
979,979,Technical,68,Pilot
980,980,ATC,38,FAA
981,981,Technical,214,Pilot
982,982,Security,126,Airport
983,983,Technical,204,Airport
984,984,Technical,129,Pilot
985,985,Weather,13,FAA
986,986,Security,135,Pilot
987,987,Weather,160,Airport
988,988,Crew,222,FAA
989,989,ATC,108,FAA
990,990,Technical,152,Pilot
991,991,Technical,128,Pilot
992,992,Technical,236,FAA
