Maintenance ID,Aircraft ID,Maintenance Date,Maintenance Technician,Maintenance Description,Maintenance Cost
62,896,2023-05-09,Tech_19,Routine,30521.28
63,854,2020-04-11,Tech_439,Avionics upgrade,1244.44
64,2872,2023-09-23,Tech_476,Engine check,9172.07
65,1025,2015-08-04,Tech_362,Landing gear,5190.71
66,1357,2013-01-04,Tech_130,Landing gear,17348.52
67,989,2021-08-29,Tech_454,Routine,2848.4
68,809,2016-03-13,Tech_193,Avionics upgrade,1822.62
69,2410,2023-07-29,Tech_95,Routine,36739.91
70,534,2011-09-20,Tech_285,Routine,19726.01
71,2705,2016-03-11,Tech_268,Landing gear,12855.97
72,2801,2019-02-18,Tech_363,Avionics upgrade,44275.57
73,1897,2024-09-29,Tech_119,Landing gear,21212.42
74,2995,2024-03-25,Tech_242,Routine,27387.66
75,309,2010-01-19,Tech_10,Engine check,11125.59
76,793,2023-06-17,Tech_180,Avionics upgrade,39593.64
77,2375,2015-03-26,Tech_253,Routine,30384.36
78,2364,2022-03-25,Tech_177,Engine check,31360.78
79,2230,2021-12-13,Tech_162,Avionics upgrade,20742.49
80,1548,2011-04-26,Tech_80,Landing gear,1026.66
81,1182,2015-06-23,Tech_231,Avionics upgrade,10057.44
82,453,2020-09-05,Tech_158,Avionics upgrade,22283.81
83,312,2020-07-23,Tech_314,Engine check,27022.15
84,2269,2024-03-02,Tech_184,Routine,21840.61
85,1858,2016-11-20,Tech_32,Routine,6621.19
86,1486,2019-05-13,Tech_188,Avionics upgrade,26859.54
87,2120,2018-01-31,Tech_10,Routine,48248.81
88,821,2015-05-25,Tech_440,Engine check,40711.15
89,2873,2021-11-10,Tech_245,Avionics upgrade,2301.78
90,2428,2019-06-07,Tech_311,Avionics upgrade,49174.39
91,2734,2018-10-31,Tech_136,Landing gear,11328.54
92,1223,2016-02-23,Tech_208,Avionics upgrade,3231.18
93,1071,2018-01-19,Tech_395,Routine,49790.66
94,1353,2013-04-27,Tech_372,Engine check,2600.87
95,2455,2023-12-13,Tech_272,Engine check,16184.71
96,1693,2019-04-15,Tech_82,Landing gear,40677.58
97,621,2016-08-09,Tech_240,Avionics upgrade,27340.7
98,2138,2021-09-03,Tech_5,Landing gear,9740.97
99,1904,2017-01-13,Tech_458,Avionics upgrade,7939.01
100,2409,2021-03-10,Tech_492,Avionics upgrade,28226.3
101,1089,2017-10-31,Tech_150,Landing gear,35961.88
102,2909,2014-12-19,Tech_327,Engine check,27289.96
103,2144,2010-09-24,Tech_33,Routine,39436.0
104,733,2019-08-30,Tech_133,Routine,13636.49
105,2454,2013-05-02,Tech_72,Engine check,17237.04
106,1624,2013-07-31,Tech_141,Avionics upgrade,39313.41
107,1138,2015-09-21,Tech_296,Avionics upgrade,28993.87
108,2646,2021-10-01,Tech_154,Landing gear,44940.51
109,2978,2015-04-08,Tech_205,Routine,10222.2
110,1485,2010-03-13,Tech_106,Avionics upgrade,6018.09
111,968,2021-04-08,Tech_80,Avionics upgrade,10056.85
112,2573,2019-08-21,Tech_495,Landing gear,37744.96
113,1559,2012-06-05,Tech_368,Landing gear,8667.86
114,101,2013-11-21,Tech_299,Engine check,26766.54
115,2933,2020-08-05,Tech_255,Landing gear,36219.68
116,1703,2011-01-11,Tech_332,Routine,7749.54
117,1238,2014-01-25,Tech_189,Engine check,29792.76
118,1169,2023-03-20,Tech_196,Avionics upgrade,3999.4
119,2059,2023-12-02,Tech_497,Routine,31451.49
120,525,2018-02-20,Tech_9,Routine,14660.34
121,795,2013-03-08,Tech_472,Engine check,39121.44
122,245,2021-01-10,Tech_124,Landing gear,4517.84
123,1336,2024-08-10,Tech_155,Landing gear,13374.41
124,1016,2023-07-15,Tech_451,Routine,32863.6
125,1822,2014-04-29,Tech_415,Routine,10247.73
126,1322,2011-02-22,Tech_46,Landing gear,28769.7
127,2502,2012-11-20,Tech_242,Routine,45959.9
128,1410,2011-02-11,Tech_386,Landing gear,15422.93
129,280,2022-01-30,Tech_268,Landing gear,6586.37
130,1920,2022-12-18,Tech_189,Routine,33916.57
131,2682,2012-08-23,Tech_227,Landing gear,5259.56
132,589,2014-06-07,Tech_93,Avionics upgrade,42626.66
133,1509,2016-10-13,Tech_47,Routine,30419.02
134,2436,2012-01-16,Tech_431,Routine,43888.27
135,781,2023-08-29,Tech_23,Avionics upgrade,18954.03
136,2799,2019-11-14,Tech_390,Routine,31333.44
137,2130,2021-09-28,Tech_359,Engine check,23735.0
138,2223,2020-06-23,Tech_419,Engine check,28355.11
139,1224,2014-01-03,Tech_465,Routine,3352.98
140,776,2021-12-01,Tech_496,Avionics upgrade,42297.2
141,2874,2018-04-13,Tech_3,Routine,27907.35
142,901,2012-05-09,Tech_346,Avionics upgrade,1211.66
143,2376,2021-07-17,Tech_54,Engine check,42779.62
144,1360,2010-04-25,Tech_493,Avionics upgrade,12992.8
145,2064,2018-03-30,Tech_471,Avionics upgrade,26753.3
146,2621,2019-11-01,Tech_279,Landing gear,11022.83
147,591,2020-11-21,Tech_76,Engine check,5030.5
148,134,2010-03-13,Tech_426,Routine,23308.22
149,659,2019-07-20,Tech_277,Avionics upgrade,6417.99
150,1594,2010-08-30,Tech_224,Avionics upgrade,13288.19
151,2064,2011-09-11,Tech_467,Routine,40917.2
152,1492,2010-05-11,Tech_22,Landing gear,46861.93
153,1035,2018-08-23,Tech_371,Routine,10787.72
154,2616,2024-10-02,Tech_184,Landing gear,28361.63
155,1650,2012-11-30,Tech_160,Landing gear,36077.42
156,1086,2016-09-27,Tech_227,Avionics upgrade,27569.51
157,2826,2024-11-21,Tech_272,Landing gear,19050.61
158,1739,2023-02-16,Tech_18,Landing gear,35669.68
159,2267,2014-09-26,Tech_167,Routine,24765.43
160,1207,2017-12-16,Tech_174,Routine,16566.12
161,2273,2022-02-03,Tech_316,Engine check,45576.6
162,2373,2013-08-02,Tech_60,Routine,21375.48
163,1340,2014-07-04,Tech_136,Avionics upgrade,32586.43
164,471,2018-03-08,Tech_199,Routine,29247.73
165,1456,2020-10-16,Tech_87,Routine,18092.35
166,2184,2022-01-09,Tech_106,Routine,48768.79
167,361,2018-11-22,Tech_246,Landing gear,10698.43
168,1444,2012-01-08,Tech_401,Routine,46202.83
169,2825,2018-02-03,Tech_274,Routine,28747.34
170,2017,2016-10-21,Tech_319,Avionics upgrade,6422.6
171,80,2010-03-03,Tech_405,Landing gear,24172.45
172,2199,2016-02-06,Tech_163,Routine,23378.8
173,1392,2021-07-30,Tech_499,Avionics upgrade,23707.71
174,863,2018-10-25,Tech_341,Avionics upgrade,41132.06
175,2437,2013-04-08,Tech_170,Engine check,13893.16
176,1076,2020-12-10,Tech_54,Engine check,35211.56
177,1332,2015-09-06,Tech_387,Avionics upgrade,38212.15
178,209,2020-12-21,Tech_279,Routine,5919.95
179,1198,2018-08-02,Tech_310,Routine,39949.1
180,307,2022-02-26,Tech_349,Landing gear,20472.71
181,1404,2014-09-16,Tech_426,Avionics upgrade,1314.09
182,1026,2015-08-07,Tech_157,Routine,36951.7
183,398,2019-12-14,Tech_105,Landing gear,42413.19
184,1082,2011-08-23,Tech_317,Avionics upgrade,27399.87
185,2811,2016-01-25,Tech_487,Landing gear,6797.73
186,2998,2021-05-13,Tech_333,Landing gear,23303.39
187,1659,2019-05-05,Tech_390,Landing gear,13763.22
188,1774,2011-07-04,Tech_209,Engine check,10589.38
189,1192,2010-10-11,Tech_457,Routine,2415.62
190,2144,2012-06-20,Tech_17,Routine,21027.63
191,1446,2022-09-15,Tech_402,Avionics upgrade,1722.73
192,34,2016-10-30,Tech_446,Avionics upgrade,33589.66
193,298,2012-12-06,Tech_359,Landing gear,5039.03
194,1355,2014-08-25,Tech_243,Landing gear,21094.38
195,576,2019-02-26,Tech_145,Engine check,29776.69
196,229,2013-10-17,Tech_127,Routine,15561.48
197,291,2013-06-30,Tech_25,Avionics upgrade,12200.8
198,1822,2013-07-27,Tech_408,Landing gear,41766.7
199,1885,2016-09-02,Tech_15,Routine,25207.92
200,1689,2022-01-29,Tech_4,Landing gear,40661.08
201,2617,2023-09-22,Tech_117,Routine,46286.18
202,1798,2017-08-23,Tech_293,Routine,6329.24
203,655,2012-12-09,Tech_165,Avionics upgrade,44469.6
204,2044,2016-06-29,Tech_390,Avionics upgrade,13660.29
205,1533,2017-12-23,Tech_118,Engine check,24615.87
206,2026,2024-06-21,Tech_174,Routine,2452.14
207,2077,2016-09-14,Tech_406,Routine,30017.92
208,227,2016-10-31,Tech_31,Routine,7752.3
209,1593,2014-10-24,Tech_396,Routine,6452.23
210,1356,2016-04-09,Tech_217,Avionics upgrade,21746.43
211,1320,2020-10-07,Tech_241,Routine,6617.83
212,82,2010-05-19,Tech_239,Landing gear,41984.17
213,1921,2015-11-15,Tech_55,Routine,2432.85
214,408,2019-06-30,Tech_107,Routine,8048.84
215,215,2023-07-12,Tech_429,Landing gear,23257.66
216,2676,2020-08-19,Tech_492,Routine,26234.04
217,2234,2021-10-22,Tech_332,Routine,2159.68
218,1180,2011-05-14,Tech_61,Avionics upgrade,48917.61
219,701,2022-12-06,Tech_67,Engine check,39238.11
220,1645,2021-10-08,Tech_188,Routine,3075.57
221,617,2011-10-05,Tech_100,Routine,48899.03
222,2753,2020-06-26,Tech_112,Avionics upgrade,7248.1
223,59,2012-12-28,Tech_413,Avionics upgrade,24894.0
224,1927,2022-05-04,Tech_153,Landing gear,4699.13
225,625,2017-05-15,Tech_58,Routine,44062.74
226,605,2010-02-20,Tech_452,Routine,26058.14
227,359,2017-08-09,Tech_418,Routine,14730.35
228,448,2017-04-20,Tech_316,Landing gear,30052.55
229,2404,2016-08-13,Tech_429,Engine check,27255.95
230,1086,2022-03-16,Tech_156,Landing gear,28805.41
231,1420,2011-06-29,Tech_236,Landing gear,9832.04
232,118,2011-09-10,Tech_192,Routine,32676.46
233,215,2015-12-18,Tech_462,Routine,31160.17
234,356,2013-01-02,Tech_338,Routine,7055.53
235,350,2023-10-17,Tech_189,Avionics upgrade,18619.05
236,2825,2016-03-11,Tech_407,Avionics upgrade,32282.46
237,2028,2023-12-12,Tech_20,Routine,49348.16
238,521,2023-10-30,Tech_243,Engine check,4354.74
239,535,2010-11-26,Tech_172,Avionics upgrade,8811.09
240,298,2019-10-18,Tech_81,Avionics upgrade,35105.41
241,2220,2022-12-26,Tech_316,Engine check,39002.76
242,954,2020-05-19,Tech_323,Landing gear,25391.56
243,139,2023-08-15,Tech_437,Avionics upgrade,4170.39
244,2137,2022-10-25,Tech_422,Engine check,5931.07
245,2255,2012-12-06,Tech_223,Routine,11154.39
246,1416,2014-05-24,Tech_104,Routine,2833.85
247,1802,2010-03-08,Tech_142,Engine check,46585.75
248,2800,2013-07-27,Tech_84,Engine check,34717.05
249,2261,2022-07-18,Tech_392,Routine,38400.99
250,2090,2011-01-15,Tech_411,Routine,27214.66
251,512,2012-10-22,Tech_395,Avionics upgrade,10825.04
252,860,2019-01-08,Tech_18,Landing gear,49811.22
253,823,2013-06-05,Tech_21,Landing gear,15116.24
254,2410,2019-12-28,Tech_473,Landing gear,33641.52
255,2991,2017-11-27,Tech_211,Engine check,39289.08
256,2511,2019-11-21,Tech_446,Landing gear,21634.78
257,2129,2013-04-30,Tech_203,Engine check,16540.95
258,2585,2011-09-25,Tech_450,Avionics upgrade,6696.18
259,1837,2019-10-31,Tech_71,Landing gear,34522.22
260,1367,2016-02-08,Tech_413,Engine check,47657.11
261,1377,2024-09-22,Tech_431,Landing gear,40481.19
262,1909,2021-06-16,Tech_308,Landing gear,20496.63
263,2184,2011-03-24,Tech_436,Engine check,28700.1
264,175,2023-01-27,Tech_69,Routine,46948.34
265,1901,2021-07-04,Tech_260,Landing gear,17862.85
266,865,2011-12-28,Tech_429,Avionics upgrade,12453.89
267,1543,2021-11-28,Tech_425,Landing gear,41237.76
268,1053,2012-06-08,Tech_436,Landing gear,6115.83
269,1485,2013-05-05,Tech_492,Engine check,13850.77
270,2943,2011-08-30,Tech_268,Engine check,26212.83
271,474,2016-09-10,Tech_386,Avionics upgrade,20505.68
272,2397,2021-05-16,Tech_70,Landing gear,20630.24
273,2970,2022-03-31,Tech_277,Landing gear,42526.32
274,1670,2022-09-20,Tech_126,Engine check,3697.98
275,1521,2021-01-20,Tech_193,Engine check,6493.78
276,978,2023-04-13,Tech_302,Avionics upgrade,19161.12
277,143,2015-05-28,Tech_196,Routine,26600.56
278,774,2024-03-14,Tech_315,Routine,44874.68
279,2012,2015-09-17,Tech_225,Landing gear,11151.46
280,949,2020-04-29,Tech_181,Avionics upgrade,28944.31
281,2374,2019-03-30,Tech_355,Routine,31361.83
282,1483,2011-12-20,Tech_369,Engine check,43238.03
283,1185,2018-10-15,Tech_205,Engine check,49458.94
284,2673,2015-06-10,Tech_163,Landing gear,24619.14
285,2700,2013-09-06,Tech_192,Landing gear,10242.04
286,2916,2023-07-02,Tech_67,Routine,11030.25
287,1679,2021-07-29,Tech_260,Routine,46358.94
288,2999,2020-12-20,Tech_6,Routine,13045.56
289,283,2011-10-24,Tech_187,Routine,16967.43
290,2943,2011-04-17,Tech_151,Landing gear,23607.7
291,548,2021-06-26,Tech_468,Engine check,38504.16
292,2237,2019-05-14,Tech_77,Engine check,36504.56
293,2562,2022-11-09,Tech_368,Landing gear,33239.85
294,432,2014-08-31,Tech_34,Engine check,33063.3
295,1727,2013-04-23,Tech_212,Engine check,45324.33
296,971,2011-05-23,Tech_427,Engine check,43121.58
297,668,2011-06-01,Tech_278,Landing gear,48857.61
298,930,2022-07-12,Tech_141,Routine,35392.18
299,638,2019-08-26,Tech_81,Avionics upgrade,6720.51
300,1513,2015-02-17,Tech_290,Avionics upgrade,48500.71
301,208,2018-05-07,Tech_398,Landing gear,17892.68
302,1459,2024-07-17,Tech_171,Engine check,8115.78
303,2565,2018-07-10,Tech_24,Avionics upgrade,42426.3
304,1962,2020-05-28,Tech_171,Avionics upgrade,22965.24
305,1397,2024-09-10,Tech_225,Routine,11305.29
306,271,2020-03-09,Tech_218,Routine,7825.09
307,1026,2016-07-14,Tech_132,Routine,47993.65
308,2593,2023-05-16,Tech_339,Avionics upgrade,43306.84
309,125,2023-05-28,Tech_384,Routine,44352.98
310,2124,2016-09-17,Tech_259,Routine,32892.29
311,1101,2019-08-07,Tech_97,Engine check,33773.21
312,2986,2020-05-09,Tech_376,Landing gear,41913.46
313,678,2016-06-06,Tech_418,Landing gear,21456.18
314,1410,2019-01-30,Tech_29,Engine check,37238.86
315,2548,2018-04-03,Tech_288,Engine check,36232.2
316,1430,2019-10-18,Tech_137,Routine,38426.0
317,2604,2021-02-05,Tech_466,Avionics upgrade,16219.99
318,1078,2014-04-22,Tech_60,Routine,44581.07
319,2598,2019-01-03,Tech_500,Engine check,9458.71
320,170,2017-09-27,Tech_487,Engine check,42239.69
321,2703,2013-08-04,Tech_445,Routine,31842.38
322,2240,2022-09-07,Tech_332,Engine check,25924.01
323,2985,2011-04-05,Tech_380,Avionics upgrade,15320.61
324,1518,2012-09-13,Tech_83,Routine,45768.75
325,1287,2012-11-13,Tech_480,Engine check,43226.66
326,42,2015-05-09,Tech_361,Engine check,30767.91
327,2538,2010-07-08,Tech_64,Routine,38873.31
328,1642,2022-05-02,Tech_271,Avionics upgrade,1124.48
329,537,2020-10-19,Tech_476,Engine check,2409.55
330,746,2023-02-01,Tech_98,Avionics upgrade,26876.6
331,2439,2011-11-24,Tech_481,Avionics upgrade,28103.6
332,243,2022-06-02,Tech_407,Avionics upgrade,43040.9
333,596,2021-10-05,Tech_400,Landing gear,43722.16
334,1271,2012-02-23,Tech_101,Engine check,35698.41
335,2177,2011-04-08,Tech_122,Engine check,2336.85
336,929,2019-05-02,Tech_420,Avionics upgrade,20706.48
337,1085,2022-10-09,Tech_332,Engine check,32899.7
338,2730,2017-12-31,Tech_289,Engine check,44027.62
339,174,2018-10-18,Tech_101,Engine check,37726.46
340,1850,2021-07-04,Tech_205,Avionics upgrade,2037.31
341,1008,2013-08-30,Tech_416,Engine check,17731.73
342,1357,2015-10-09,Tech_496,Landing gear,47648.13
343,1423,2023-09-25,Tech_49,Landing gear,28662.18
344,2841,2019-04-12,Tech_314,Landing gear,16616.67
345,761,2018-02-03,Tech_320,Routine,27787.96
346,2412,2020-01-11,Tech_171,Avionics upgrade,43983.83
347,1794,2010-09-06,Tech_213,Engine check,45205.08
348,2764,2014-07-30,Tech_206,Engine check,45537.17
349,912,2014-05-03,Tech_139,Avionics upgrade,31645.53
350,779,2013-10-26,Tech_498,Avionics upgrade,41229.54
351,1765,2015-08-24,Tech_426,Landing gear,21651.02
352,1817,2019-12-25,Tech_416,Avionics upgrade,43788.96
353,1893,2023-03-15,Tech_105,Routine,20829.86
354,833,2012-07-16,Tech_133,Routine,19421.19
355,1487,2017-10-04,Tech_198,Landing gear,20278.01
356,148,2022-09-13,Tech_335,Engine check,17647.49
357,899,2017-07-19,Tech_263,Landing gear,16614.41
358,95,2012-05-03,Tech_481,Engine check,33925.77
359,995,2023-07-13,Tech_77,Landing gear,17726.02
360,2346,2014-07-17,Tech_1,Landing gear,15471.32
361,1419,2012-09-22,Tech_15,Landing gear,6901.8
362,1386,2023-11-26,Tech_197,Landing gear,10969.82
363,2354,2012-05-26,Tech_469,Engine check,47908.64
364,1565,2011-05-26,Tech_135,Landing gear,25589.44
365,971,2020-02-23,Tech_397,Routine,21779.76
366,1585,2024-12-26,Tech_194,Landing gear,24829.4
367,1514,2014-08-30,Tech_106,Landing gear,35880.78
368,2467,2012-08-13,Tech_150,Avionics upgrade,2039.96
369,553,2013-04-27,Tech_29,Engine check,3929.11
370,2998,2010-01-04,Tech_56,Routine,36251.12
371,183,2012-05-01,Tech_202,Engine check,41923.46
372,691,2013-04-23,Tech_26,Landing gear,7836.51
373,2695,2017-04-20,Tech_470,Landing gear,22613.15
374,1286,2012-02-05,Tech_388,Routine,46334.25
375,2935,2019-11-28,Tech_27,Routine,4999.88
376,802,2024-03-28,Tech_180,Engine check,26817.51
377,908,2011-12-30,Tech_42,Landing gear,35963.88
378,1113,2019-07-05,Tech_62,Avionics upgrade,10661.36
379,157,2020-11-11,Tech_252,Routine,32798.36
380,2219,2020-08-12,Tech_374,Engine check,44049.96
381,531,2018-02-08,Tech_9,Engine check,28023.6
382,286,2022-05-12,Tech_445,Engine check,1699.27
383,2722,2024-01-10,Tech_303,Avionics upgrade,10475.19
384,1697,2019-12-15,Tech_425,Routine,16850.69
385,2736,2016-12-08,Tech_339,Landing gear,18405.48
386,2130,2024-05-28,Tech_317,Avionics upgrade,36514.42
387,1046,2017-08-06,Tech_140,Avionics upgrade,23131.57
388,1792,2015-05-09,Tech_265,Avionics upgrade,43646.84
389,2908,2024-01-18,Tech_142,Landing gear,24762.92
390,130,2011-11-17,Tech_110,Avionics upgrade,15291.11
391,238,2012-06-08,Tech_3,Routine,28258.87
392,1252,2015-09-17,Tech_394,Landing gear,9602.83
393,2618,2012-11-30,Tech_246,Engine check,17951.09
394,457,2012-03-01,Tech_200,Landing gear,34632.06
395,2187,2015-03-12,Tech_349,Landing gear,38086.83
396,2776,2016-03-09,Tech_462,Routine,48366.5
397,80,2014-05-05,Tech_31,Routine,41100.96
398,691,2020-07-31,Tech_187,Routine,19583.9
399,981,2022-03-30,Tech_198,Avionics upgrade,1210.47
400,1483,2011-09-04,Tech_153,Landing gear,22813.11
401,1510,2023-08-04,Tech_396,Routine,33691.93
402,2879,2024-02-28,Tech_192,Engine check,6734.01
403,672,2018-01-02,Tech_418,Avionics upgrade,6842.14
404,1281,2021-11-24,Tech_189,Landing gear,16333.32
405,1636,2020-07-08,Tech_7,Engine check,14820.89
406,2546,2019-03-20,Tech_119,Routine,28980.52
407,2599,2018-06-30,Tech_136,Landing gear,17784.33
408,320,2024-06-14,Tech_7,Routine,46620.91
409,2857,2021-05-26,Tech_470,Landing gear,32899.6
410,1391,2021-12-15,Tech_175,Engine check,8155.59
411,171,2011-10-28,Tech_258,Engine check,35191.25
412,1705,2018-06-03,Tech_216,Routine,28652.59
413,25,2021-05-26,Tech_62,Landing gear,8727.01
414,1777,2024-07-08,Tech_59,Avionics upgrade,36350.65
415,1533,2015-04-06,Tech_353,Routine,1394.22
416,2672,2021-05-08,Tech_14,Landing gear,38542.49
417,2016,2019-03-04,Tech_449,Avionics upgrade,6864.65
418,1645,2014-03-21,Tech_249,Landing gear,11926.01
419,1272,2010-10-05,Tech_465,Engine check,7994.27
420,1419,2017-12-19,Tech_470,Landing gear,48361.55
421,2762,2013-06-16,Tech_487,Avionics upgrade,11509.62
422,1237,2017-03-21,Tech_430,Engine check,7300.32
423,2384,2011-06-16,Tech_304,Landing gear,26653.4
424,1379,2021-08-08,Tech_174,Landing gear,2244.33
425,2967,2021-01-07,Tech_480,Routine,5019.82
426,1420,2020-04-10,Tech_305,Landing gear,32103.14
427,1908,2024-12-05,Tech_349,Engine check,43875.23
428,939,2011-06-29,Tech_420,Engine check,47506.92
429,1965,2020-04-01,Tech_208,Engine check,8557.61
430,2883,2023-01-26,Tech_255,Engine check,34008.52
431,2827,2013-12-19,Tech_398,Engine check,17266.61
432,680,2019-03-17,Tech_443,Landing gear,19040.41
433,738,2017-12-02,Tech_441,Engine check,39729.15
434,643,2019-03-14,Tech_216,Avionics upgrade,22058.71
435,1426,2016-01-11,Tech_124,Engine check,31535.36
436,1380,2010-05-11,Tech_91,Engine check,9239.44
437,833,2018-11-13,Tech_456,Engine check,5389.47
438,271,2021-06-01,Tech_330,Avionics upgrade,36756.46
439,1810,2023-06-03,Tech_458,Engine check,5711.94
440,640,2018-10-15,Tech_78,Routine,15403.83
441,1485,2015-07-04,Tech_298,Avionics upgrade,7645.31
442,2118,2018-11-25,Tech_429,Avionics upgrade,15856.96
443,164,2017-02-25,Tech_17,Landing gear,38289.68
444,2036,2020-04-03,Tech_98,Avionics upgrade,36181.2
445,1762,2012-07-04,Tech_411,Engine check,37282.21
446,573,2015-12-02,Tech_36,Avionics upgrade,19346.46
447,1293,2015-01-12,Tech_424,Engine check,12018.51
448,1538,2024-02-11,Tech_182,Engine check,18218.27
449,2529,2018-12-25,Tech_446,Landing gear,4328.2
450,1442,2016-12-19,Tech_70,Avionics upgrade,37712.3
451,344,2020-07-30,Tech_425,Avionics upgrade,4537.03
452,1004,2023-04-29,Tech_329,Engine check,10572.39
453,729,2023-10-18,Tech_119,Routine,17215.0
454,669,2022-05-05,Tech_292,Routine,46040.65
455,2263,2022-10-03,Tech_250,Landing gear,1100.28
456,1766,2023-06-02,Tech_285,Engine check,27984.45
457,2124,2014-04-07,Tech_68,Routine,40869.66
458,1169,2011-10-18,Tech_173,Engine check,48828.45
459,1417,2017-02-28,Tech_332,Routine,48855.76
460,112,2023-08-21,Tech_307,Landing gear,14573.61
461,2010,2015-01-19,Tech_360,Engine check,1304.97
462,791,2018-10-09,Tech_17,Landing gear,40920.23
463,432,2022-04-17,Tech_300,Landing gear,37458.84
464,49,2024-08-24,Tech_178,Routine,33731.14
465,2968,2017-08-08,Tech_463,Engine check,42442.42
466,1600,2012-02-24,Tech_125,Landing gear,29608.15
467,1217,2018-08-18,Tech_468,Avionics upgrade,18420.88
468,2301,2019-02-13,Tech_79,Routine,48924.6
469,2924,2020-02-04,Tech_406,Engine check,40069.59
470,1936,2010-01-10,Tech_279,Routine,26131.66
471,2454,2013-01-04,Tech_440,Routine,23561.15
472,1050,2020-11-28,Tech_337,Engine check,40440.73
473,1274,2013-05-12,Tech_329,Engine check,26344.69
474,790,2022-12-07,Tech_20,Engine check,7392.79
475,389,2024-09-20,Tech_463,Landing gear,33845.92
476,72,2014-11-19,Tech_212,Engine check,18688.52
477,2097,2021-02-20,Tech_104,Avionics upgrade,4746.87
478,2171,2018-09-08,Tech_478,Avionics upgrade,15138.75
479,807,2015-04-02,Tech_238,Routine,5631.72
480,2150,2020-05-21,Tech_487,Engine check,3319.11
481,1202,2021-09-13,Tech_394,Avionics upgrade,8950.69
482,1384,2015-08-13,Tech_217,Engine check,36150.43
483,2917,2023-07-29,Tech_477,Routine,20410.69
484,2239,2021-02-12,Tech_1,Landing gear,41919.09
485,1828,2012-10-03,Tech_476,Avionics upgrade,2772.49
486,1831,2014-09-12,Tech_315,Engine check,2155.5
