Aircraft ID,Manufacturer,Model,Aircraft Type,Capacity
340,Airbus,Model_340,Regional Jet,291
341,Cessna,Model_341,Wide Body,303
342,Cessna,Model_342,Narrow Body,195
343,Embraer,Model_343,Regional Jet,359
344,Cessna,Model_344,Turboprop,201
345,Bombardier,Model_345,Turboprop,384
346,Cessna,Model_346,Turboprop,93
347,Bombardier,Model_347,Wide Body,181
348,Boeing,Model_348,Regional Jet,116
349,Bombardier,Model_349,Narrow Body,59
350,Airbus,Model_350,Wide Body,383
351,Airbus,Model_351,Regional Jet,329
352,Cessna,Model_352,Regional Jet,129
353,Boeing,Model_353,Narrow Body,176
354,Airbus,Model_354,Narrow Body,210
355,Boeing,Model_355,Narrow Body,111
356,Cessna,Model_356,Wide Body,274
357,Bombardier,Model_357,Regional Jet,96
358,Boeing,Model_358,Regional Jet,112
359,Bombardier,Model_359,Turboprop,192
360,Boeing,Model_360,Regional Jet,197
361,Airbus,Model_361,Regional Jet,150
362,Boeing,Model_362,Turboprop,107
363,Cessna,Model_363,Turboprop,130
364,Cessna,Model_364,Narrow Body,164
365,Bombardier,Model_365,Wide Body,372
366,Boeing,Model_366,Narrow Body,395
367,Boeing,Model_367,Regional Jet,194
368,Embraer,Model_368,Narrow Body,193
369,Airbus,Model_369,Narrow Body,219
370,Embraer,Model_370,Wide Body,371
371,Boeing,Model_371,Regional Jet,138
372,Airbus,Model_372,Narrow Body,284
373,Airbus,Model_373,Wide Body,180
374,Embraer,Model_374,Wide Body,248
375,Bombardier,Model_375,Turboprop,196
376,Cessna,Model_376,Regional Jet,160
377,Embraer,Model_377,Turboprop,280
378,Cessna,Model_378,Turboprop,106
379,Airbus,Model_379,Wide Body,223
380,Cessna,Model_380,Narrow Body,257
381,Embraer,Model_381,Narrow Body,159
382,Airbus,Model_382,Regional Jet,97
383,Bombardier,Model_383,Turboprop,192
384,Boeing,Model_384,Wide Body,248
385,Bombardier,Model_385,Narrow Body,104
386,Cessna,Model_386,Narrow Body,191
387,Embraer,Model_387,Narrow Body,129
388,Boeing,Model_388,Narrow Body,224
389,Bombardier,Model_389,Regional Jet,359
390,Boeing,Model_390,Regional Jet,309
391,Boeing,Model_391,Narrow Body,211
392,Airbus,Model_392,Regional Jet,252
393,Cessna,Model_393,Turboprop,67
394,Airbus,Model_394,Wide Body,192
395,Cessna,Model_395,Turboprop,303
396,Airbus,Model_396,Turboprop,289
397,Airbus,Model_397,Wide Body,315
398,Boeing,Model_398,Regional Jet,231
399,Embraer,Model_399,Wide Body,151
400,Cessna,Model_400,Turboprop,240
401,Cessna,Model_401,Wide Body,106
402,Bombardier,Model_402,Narrow Body,209
403,Cessna,Model_403,Wide Body,302
404,Bombardier,Model_404,Turboprop,345
405,Bombardier,Model_405,Wide Body,317
406,Airbus,Model_406,Turboprop,137
407,Embraer,Model_407,Narrow Body,331
408,Cessna,Model_408,Turboprop,327
409,Cessna,Model_409,Regional Jet,108
410,Boeing,Model_410,Turboprop,253
411,Bombardier,Model_411,Regional Jet,142
412,Airbus,Model_412,Turboprop,182
413,Embraer,Model_413,Narrow Body,261
414,Cessna,Model_414,Narrow Body,212
415,Boeing,Model_415,Turboprop,399
416,Bombardier,Model_416,Regional Jet,317
417,Bombardier,Model_417,Turboprop,198
418,Airbus,Model_418,Regional Jet,277
419,Bombardier,Model_419,Narrow Body,394
420,Airbus,Model_420,Narrow Body,272
421,Airbus,Model_421,Narrow Body,236
422,Cessna,Model_422,Regional Jet,112
423,Boeing,Model_423,Turboprop,92
424,Boeing,Model_424,Narrow Body,223
425,Embraer,Model_425,Wide Body,136
426,Cessna,Model_426,Wide Body,87
427,Airbus,Model_427,Wide Body,374
428,Cessna,Model_428,Narrow Body,351
429,Boeing,Model_429,Turboprop,376
430,Boeing,Model_430,Wide Body,117
431,Airbus,Model_431,Regional Jet,353
432,Airbus,Model_432,Turboprop,202
433,Embraer,Model_433,Regional Jet,378
434,Bombardier,Model_434,Regional Jet,241
435,Bombardier,Model_435,Narrow Body,125
436,Boeing,Model_436,Regional Jet,138
437,Boeing,Model_437,Wide Body,237
438,Embraer,Model_438,Turboprop,50
439,Airbus,Model_439,Narrow Body,375
440,Airbus,Model_440,Wide Body,232
441,Cessna,Model_441,Narrow Body,153
442,Embraer,Model_442,Turboprop,400
443,Airbus,Model_443,Turboprop,355
444,Boeing,Model_444,Wide Body,86
445,Embraer,Model_445,Regional Jet,195
446,Airbus,Model_446,Wide Body,78
447,Boeing,Model_447,Regional Jet,296
448,Bombardier,Model_448,Wide Body,69
449,Boeing,Model_449,Turboprop,233
450,Bombardier,Model_450,Narrow Body,161
451,Cessna,Model_451,Wide Body,227
452,Boeing,Model_452,Turboprop,284
453,Cessna,Model_453,Narrow Body,120
454,Boeing,Model_454,Wide Body,266
455,Boeing,Model_455,Regional Jet,334
456,Cessna,Model_456,Turboprop,231
457,Airbus,Model_457,Regional Jet,239
458,Airbus,Model_458,Wide Body,308
459,Boeing,Model_459,Turboprop,262
460,Embraer,Model_460,Wide Body,335
461,Embraer,Model_461,Regional Jet,334
462,Embraer,Model_462,Turboprop,118
463,Boeing,Model_463,Narrow Body,268
464,Bombardier,Model_464,Turboprop,145
465,Embraer,Model_465,Wide Body,205
466,Cessna,Model_466,Regional Jet,337
467,Boeing,Model_467,Narrow Body,360
468,Cessna,Model_468,Regional Jet,271
469,Bombardier,Model_469,Regional Jet,234
470,Cessna,Model_470,Narrow Body,303
471,Embraer,Model_471,Turboprop,168
472,Airbus,Model_472,Turboprop,369
473,Bombardier,Model_473,Wide Body,109
474,Bombardier,Model_474,Wide Body,71
475,Bombardier,Model_475,Regional Jet,175
476,Boeing,Model_476,Regional Jet,310
477,Cessna,Model_477,Turboprop,110
478,Cessna,Model_478,Turboprop,365
479,Boeing,Model_479,Regional Jet,88
480,Cessna,Model_480,Regional Jet,53
481,Embraer,Model_481,Wide Body,291
482,Embraer,Model_482,Turboprop,138
483,Embraer,Model_483,Wide Body,274
484,Airbus,Model_484,Regional Jet,91
485,Embraer,Model_485,Narrow Body,94
486,Cessna,Model_486,Narrow Body,97
487,Airbus,Model_487,Regional Jet,186
488,Cessna,Model_488,Narrow Body,299
489,Cessna,Model_489,Regional Jet,92
490,Boeing,Model_490,Regional Jet,84
491,Airbus,Model_491,Wide Body,325
492,Bombardier,Model_492,Regional Jet,313
493,Cessna,Model_493,Turboprop,395
494,Embraer,Model_494,Wide Body,350
495,Bombardier,Model_495,Turboprop,202
496,Airbus,Model_496,Regional Jet,199
497,Embraer,Model_497,Regional Jet,74
498,Airbus,Model_498,Regional Jet,330
499,Cessna,Model_499,Regional Jet,227
500,Cessna,Model_500,Turboprop,81
501,Bombardier,Model_501,Turboprop,248
502,Airbus,Model_502,Regional Jet,193
503,Bombardier,Model_503,Wide Body,127
504,Airbus,Model_504,Narrow Body,81
505,Airbus,Model_505,Turboprop,229
506,Cessna,Model_506,Regional Jet,373
507,Bombardier,Model_507,Wide Body,179
508,Airbus,Model_508,Turboprop,92
509,Cessna,Model_509,Narrow Body,277
510,Boeing,Model_510,Turboprop,224
511,Cessna,Model_511,Wide Body,236
512,Embraer,Model_512,Turboprop,102
513,Boeing,Model_513,Wide Body,134
514,Embraer,Model_514,Turboprop,203
515,Embraer,Model_515,Turboprop,167
516,Bombardier,Model_516,Wide Body,253
517,Embraer,Model_517,Wide Body,391
518,Airbus,Model_518,Wide Body,386
519,Airbus,Model_519,Turboprop,381
520,Boeing,Model_520,Turboprop,259
521,Boeing,Model_521,Narrow Body,178
522,Cessna,Model_522,Wide Body,370
523,Airbus,Model_523,Regional Jet,331
524,Bombardier,Model_524,Regional Jet,391
525,Cessna,Model_525,Regional Jet,226
526,Bombardier,Model_526,Turboprop,399
527,Embraer,Model_527,Turboprop,194
528,Airbus,Model_528,Regional Jet,80
529,Embraer,Model_529,Wide Body,302
530,Cessna,Model_530,Wide Body,314
531,Airbus,Model_531,Wide Body,74
532,Airbus,Model_532,Turboprop,141
533,Airbus,Model_533,Regional Jet,52
534,Boeing,Model_534,Narrow Body,73
535,Cessna,Model_535,Regional Jet,262
536,Embraer,Model_536,Narrow Body,306
537,Airbus,Model_537,Regional Jet,228
538,Boeing,Model_538,Wide Body,366
539,Bombardier,Model_539,Turboprop,51
540,Cessna,Model_540,Regional Jet,384
541,Boeing,Model_541,Regional Jet,233
542,Bombardier,Model_542,Narrow Body,380
543,Cessna,Model_543,Regional Jet,296
544,Airbus,Model_544,Regional Jet,292
545,Bombardier,Model_545,Turboprop,213
546,Airbus,Model_546,Regional Jet,210
547,Boeing,Model_547,Turboprop,400
548,Boeing,Model_548,Turboprop,165
549,Cessna,Model_549,Narrow Body,396
550,Cessna,Model_550,Regional Jet,259
551,Cessna,Model_551,Turboprop,133
552,Cessna,Model_552,Turboprop,324
553,Bombardier,Model_553,Narrow Body,167
554,Airbus,Model_554,Turboprop,144
555,Cessna,Model_555,Turboprop,285
556,Boeing,Model_556,Narrow Body,104
557,Cessna,Model_557,Wide Body,98
558,Cessna,Model_558,Wide Body,236
559,Embraer,Model_559,Narrow Body,87
560,Bombardier,Model_560,Wide Body,264
561,Bombardier,Model_561,Regional Jet,86
562,Bombardier,Model_562,Wide Body,335
563,Boeing,Model_563,Turboprop,230
564,Airbus,Model_564,Regional Jet,191
565,Embraer,Model_565,Narrow Body,375
566,Airbus,Model_566,Regional Jet,101
567,Boeing,Model_567,Regional Jet,155
568,Airbus,Model_568,Narrow Body,64
569,Boeing,Model_569,Turboprop,280
570,Airbus,Model_570,Turboprop,316
571,Embraer,Model_571,Regional Jet,248
572,Boeing,Model_572,Turboprop,74
573,Embraer,Model_573,Regional Jet,152
574,Cessna,Model_574,Narrow Body,146
575,Embraer,Model_575,Regional Jet,341
576,Embraer,Model_576,Wide Body,367
577,Embraer,Model_577,Narrow Body,287
578,Cessna,Model_578,Narrow Body,167
579,Bombardier,Model_579,Narrow Body,271
580,Cessna,Model_580,Regional Jet,360
581,Bombardier,Model_581,Turboprop,394
582,Bombardier,Model_582,Wide Body,273
583,Boeing,Model_583,Turboprop,58
584,Cessna,Model_584,Regional Jet,273
585,Airbus,Model_585,Wide Body,92
586,Embraer,Model_586,Turboprop,172
587,Embraer,Model_587,Turboprop,265
588,Boeing,Model_588,Turboprop,138
589,Embraer,Model_589,Narrow Body,228
590,Boeing,Model_590,Wide Body,288
591,Embraer,Model_591,Wide Body,318
592,Bombardier,Model_592,Regional Jet,349
593,Airbus,Model_593,Wide Body,79
594,Embraer,Model_594,Narrow Body,164
595,Bombardier,Model_595,Regional Jet,247
596,Cessna,Model_596,Turboprop,363
597,Cessna,Model_597,Wide Body,342
598,Boeing,Model_598,Narrow Body,64
599,Airbus,Model_599,Wide Body,321
600,Embraer,Model_600,Regional Jet,169
601,Bombardier,Model_601,Narrow Body,119
602,Embraer,Model_602,Narrow Body,290
603,Embraer,Model_603,Wide Body,129
604,Embraer,Model_604,Narrow Body,344
605,Cessna,Model_605,Regional Jet,110
606,Cessna,Model_606,Wide Body,168
607,Boeing,Model_607,Turboprop,75
608,Boeing,Model_608,Turboprop,341
609,Cessna,Model_609,Narrow Body,163
610,Cessna,Model_610,Regional Jet,110
611,Airbus,Model_611,Narrow Body,299
612,Embraer,Model_612,Narrow Body,152
613,Boeing,Model_613,Narrow Body,367
614,Cessna,Model_614,Regional Jet,123
615,Cessna,Model_615,Wide Body,346
616,Boeing,Model_616,Wide Body,299
617,Airbus,Model_617,Narrow Body,269
618,Embraer,Model_618,Turboprop,249
619,Embraer,Model_619,Turboprop,64
620,Boeing,Model_620,Turboprop,132
621,Boeing,Model_621,Wide Body,147
622,Airbus,Model_622,Turboprop,177
623,Embraer,Model_623,Wide Body,256
624,Bombardier,Model_624,Wide Body,329
625,Airbus,Model_625,Regional Jet,185
626,Embraer,Model_626,Turboprop,208
627,Bombardier,Model_627,Turboprop,285
628,Boeing,Model_628,Wide Body,82
629,Boeing,Model_629,Turboprop,126
630,Boeing,Model_630,Narrow Body,217
631,Embraer,Model_631,Wide Body,300
632,Embraer,Model_632,Narrow Body,203
633,Embraer,Model_633,Wide Body,78
634,Cessna,Model_634,Narrow Body,261
635,Bombardier,Model_635,Regional Jet,259
636,Cessna,Model_636,Wide Body,236
637,Bombardier,Model_637,Regional Jet,149
638,Cessna,Model_638,Turboprop,301
639,Boeing,Model_639,Wide Body,177
640,Airbus,Model_640,Narrow Body,273
641,Cessna,Model_641,Narrow Body,115
642,Embraer,Model_642,Regional Jet,388
643,Bombardier,Model_643,Turboprop,342
644,Embraer,Model_644,Turboprop,344
645,Cessna,Model_645,Wide Body,86
646,Boeing,Model_646,Wide Body,306
647,Embraer,Model_647,Regional Jet,123
648,Cessna,Model_648,Turboprop,234
649,Boeing,Model_649,Wide Body,329
650,Airbus,Model_650,Turboprop,198
651,Bombardier,Model_651,Regional Jet,377
652,Cessna,Model_652,Turboprop,249
653,Boeing,Model_653,Turboprop,391
654,Bombardier,Model_654,Narrow Body,390
655,Boeing,Model_655,Regional Jet,357
656,Boeing,Model_656,Regional Jet,364
657,Cessna,Model_657,Wide Body,211
658,Embraer,Model_658,Turboprop,268
659,Bombardier,Model_659,Turboprop,84
660,Cessna,Model_660,Narrow Body,381
661,Bombardier,Model_661,Regional Jet,319
662,Cessna,Model_662,Narrow Body,391
663,Boeing,Model_663,Turboprop,371
664,Airbus,Model_664,Narrow Body,240
665,Boeing,Model_665,Turboprop,317
666,Embraer,Model_666,Wide Body,208
667,Cessna,Model_667,Regional Jet,247
668,Airbus,Model_668,Regional Jet,365
669,Airbus,Model_669,Regional Jet,114
670,Bombardier,Model_670,Narrow Body,60
671,Embraer,Model_671,Regional Jet,236
672,Airbus,Model_672,Turboprop,83
673,Airbus,Model_673,Turboprop,190
674,Boeing,Model_674,Wide Body,400
